--- Log Capture Start: 20260227_130356 ---
02-27 13:03:03.747 D/BleProximity: 📶 RSSI: -82
02-27 13:03:04.055 D/BleProximity: 📶 RSSI: -77
02-27 13:03:04.356 D/BleProximity: 📶 RSSI: -78
02-27 13:03:04.657 D/BleProximity: 📶 RSSI: -78
02-27 13:03:04.958 D/BleProximity: 📶 RSSI: -78
02-27 13:03:05.252 D/BleProximity: 📶 RSSI: -79
02-27 13:03:05.560 D/BleProximity: 📶 RSSI: -76
02-27 13:03:05.862 D/BleProximity: 📶 RSSI: -73
02-27 13:03:06.153 D/BleProximity: 📶 RSSI: -72
02-27 13:03:06.462 D/BleProximity: 📶 RSSI: -69
02-27 13:03:06.763 D/BleProximity: 📶 RSSI: -68
02-27 13:03:07.070 D/BleProximity: 📶 RSSI: -78
02-27 13:03:07.373 D/BleProximity: 📶 RSSI: -72
02-27 13:03:07.674 D/BleProximity: 📶 RSSI: -70
02-27 13:03:07.977 D/BleProximity: 📶 RSSI: -73
02-27 13:03:08.278 D/BleProximity: 📶 RSSI: -80
02-27 13:03:08.576 D/BleProximity: 📶 RSSI: -80
02-27 13:03:08.875 D/BleProximity: 📶 RSSI: -82
02-27 13:03:09.176 D/BleProximity: 📶 RSSI: -83
02-27 13:03:09.485 D/BleProximity: 📶 RSSI: -84
02-27 13:03:09.781 D/BleProximity: 📶 RSSI: -84
02-27 13:03:10.078 D/BleProximity: 📶 RSSI: -86
02-27 13:03:10.391 D/BleProximity: 📶 RSSI: -87
02-27 13:03:10.691 D/BleProximity: 📶 RSSI: -88
02-27 13:03:10.992 D/BleProximity: 📶 RSSI: -84
02-27 13:03:11.299 D/BleProximity: 📶 RSSI: -86
02-27 13:03:11.603 D/BleProximity: 📶 RSSI: -86
02-27 13:03:11.904 D/BleProximity: 📶 RSSI: -86
02-27 13:03:12.200 D/BleProximity: 📶 RSSI: -86
02-27 13:03:12.503 D/BleProximity: 📶 RSSI: -87
02-27 13:03:12.807 D/BleProximity: 📶 RSSI: -85
02-27 13:03:13.104 D/BleProximity: 📶 RSSI: -85
02-27 13:03:13.408 D/BleProximity: 📶 RSSI: -86
02-27 13:03:13.709 D/BleProximity: 📶 RSSI: -86
02-27 13:03:14.017 D/BleProximity: 📶 RSSI: -86
02-27 13:03:14.319 D/BleProximity: 📶 RSSI: -86
02-27 13:03:14.618 D/BleProximity: 📶 RSSI: -86
02-27 13:03:14.921 D/BleProximity: 📶 RSSI: -85
02-27 13:03:15.222 D/BleProximity: 📶 RSSI: -84
02-27 13:03:15.523 D/BleProximity: 📶 RSSI: -85
02-27 13:03:15.831 D/BleProximity: 📶 RSSI: -87
02-27 13:03:16.133 D/BleProximity: 📶 RSSI: -88
02-27 13:03:16.427 D/BleProximity: 📶 RSSI: -85
02-27 13:03:16.737 D/BleProximity: 📶 RSSI: -87
02-27 13:03:17.035 D/BleProximity: 📶 RSSI: -89
02-27 13:03:17.337 D/BleProximity: 📶 RSSI: -89
02-27 13:03:17.638 D/BleProximity: 📶 RSSI: -86
02-27 13:03:17.945 D/BleProximity: 📶 RSSI: -87
02-27 13:03:18.248 D/BleProximity: 📶 RSSI: -86
02-27 13:03:18.551 D/BleProximity: 📶 RSSI: -85
02-27 13:03:18.851 D/BleProximity: 📶 RSSI: -84
02-27 13:03:19.153 D/BleProximity: 📶 RSSI: -86
02-27 13:03:19.454 D/BleProximity: 📶 RSSI: -84
02-27 13:03:19.757 D/BleProximity: 📶 RSSI: -85
02-27 13:03:20.063 D/BleProximity: 📶 RSSI: -84
02-27 13:03:20.351 D/BleProximity: 📶 RSSI: -85
02-27 13:03:20.665 D/BleProximity: 📶 RSSI: -86
02-27 13:03:20.966 D/BleProximity: 📶 RSSI: -86
02-27 13:03:21.266 D/BleProximity: 📶 RSSI: -85
02-27 13:03:21.569 D/BleProximity: 📶 RSSI: -86
02-27 13:03:21.876 D/BleProximity: 📶 RSSI: -87
02-27 13:03:22.179 D/BleProximity: 📶 RSSI: -89
02-27 13:03:22.479 D/BleProximity: 📶 RSSI: -87
02-27 13:03:22.782 D/BleProximity: 📶 RSSI: -89
02-27 13:03:23.082 D/BleProximity: 📶 RSSI: -88
02-27 13:03:23.382 D/BleProximity: 📶 RSSI: -92
02-27 13:03:23.679 D/BleProximity: 📶 RSSI: -92
02-27 13:03:23.991 D/BleProximity: 📶 RSSI: -91
02-27 13:03:24.292 D/BleProximity: 📶 RSSI: -92
02-27 13:03:24.594 D/BleProximity: 📶 RSSI: -93
02-27 13:03:24.896 D/BleProximity: 📶 RSSI: -95
02-27 13:03:25.197 D/BleProximity: 📶 RSSI: -93
02-27 13:03:25.496 D/BleProximity: 📶 RSSI: -93
02-27 13:03:25.797 D/BleProximity: 📶 RSSI: -92
02-27 13:03:26.097 D/BleProximity: 📶 RSSI: -92
02-27 13:03:26.396 D/BleProximity: 📶 RSSI: -93
02-27 13:03:26.705 D/BleProximity: 📶 RSSI: -94
02-27 13:03:26.999 D/BleProximity: 📶 RSSI: -94
02-27 13:03:27.309 D/BleProximity: 📶 RSSI: -95
02-27 13:03:27.609 D/BleProximity: 📶 RSSI: -95
02-27 13:03:27.912 D/BleProximity: 📶 RSSI: -95
02-27 13:03:28.210 D/BleProximity: 📶 RSSI: -95
02-27 13:03:28.510 D/BleProximity: 📶 RSSI: -95
02-27 13:03:28.813 D/BleProximity: 📶 RSSI: -95
02-27 13:03:29.119 D/BleProximity: 📶 RSSI: -95
02-27 13:03:29.420 D/BleProximity: 📶 RSSI: -95
02-27 13:03:29.722 D/BleProximity: 📶 RSSI: -94
02-27 13:03:30.019 D/BleProximity: 📶 RSSI: -94
02-27 13:03:30.326 D/BleProximity: 📶 RSSI: -94
02-27 13:03:30.626 D/BleProximity: 📶 RSSI: -95
02-27 13:03:30.927 D/BleProximity: 📶 RSSI: -95
02-27 13:03:31.234 D/BleProximity: 📶 RSSI: -94
02-27 13:03:31.526 D/BleProximity: 📶 RSSI: -94
02-27 13:03:31.832 D/BleProximity: 📶 RSSI: -94
02-27 13:03:32.135 D/BleProximity: 📶 RSSI: -94
02-27 13:03:32.440 D/BleProximity: 📶 RSSI: -93
02-27 13:03:32.737 D/BleProximity: 📶 RSSI: -93
