--- Log Capture Start: 20260318_182654 ---
03-18 18:24:17.701 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:17.801 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:17.906 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:18.007 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:18.108 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:18.210 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:18.312 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:18.414 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:18.517 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:18.616 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:18.715 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:18.816 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:18.916 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:19.019 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:19.122 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:19.223 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:19.327 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:19.425 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:19.526 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:19.628 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:19.728 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:19.830 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:19.932 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:20.034 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:20.136 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:20.237 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:20.339 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:20.440 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:20.543 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:20.644 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:20.745 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:20.849 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:20.950 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:21.063 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:21.154 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:21.254 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:21.359 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:21.461 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:21.561 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:21.659 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:21.762 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:21.864 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:21.970 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:22.069 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:22.171 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:22.274 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:22.377 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:22.477 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:22.578 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:22.679 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:22.779 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:22.882 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:22.986 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:23.086 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:23.185 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:23.291 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:23.392 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:23.493 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:23.592 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:23.693 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:23.794 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:23.895 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:23.997 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:24.100 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:24.199 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:24.304 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:24.402 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:24.506 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:24.604 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:24.705 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:24.806 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:24.908 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:25.010 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:25.113 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:25.216 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:25.319 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:25.420 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:25.523 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:25.623 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:25.724 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:25.828 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:25.930 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:26.031 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:26.134 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:26.232 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:26.334 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:26.439 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:26.540 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:26.640 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:26.741 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:26.843 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:26.945 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:27.048 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:27.151 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:27.254 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:27.357 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:27.457 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:27.557 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:27.658 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:27.759 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:27.863 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:27.964 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:28.068 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:28.170 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:28.272 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:28.375 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:28.474 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:28.576 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:28.677 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:28.881 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:28.982 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:29.087 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:29.189 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:29.293 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:29.394 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:29.494 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:29.595 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:29.696 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:29.797 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-55)，但未检测到靠近动作 (原地站立)
03-18 18:24:29.903 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-55)，但未检测到靠近动作 (原地站立)
03-18 18:24:30.008 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-55)，但未检测到靠近动作 (原地站立)
03-18 18:24:30.111 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:30.214 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:30.315 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:30.414 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-54)，但未检测到靠近动作 (原地站立)
03-18 18:24:30.518 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:30.617 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:30.717 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-53)，但未检测到靠近动作 (原地站立)
03-18 18:24:30.922 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:31.026 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:31.126 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:31.230 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:31.330 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:31.430 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:31.533 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:31.630 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:31.733 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:31.836 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:31.937 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:32.039 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
